AGENCY_ID,LAST_NAME,FIRST_NAME,MIDDLE_INITIAL,GENDER,ADDRESS_LINE1,ADDRESS_LINE2,POSTAL_CODE,CITY,STATE,COUNTRY,PHONE,INCOME,NUMBER_CARS,NUMBER_CHILDREN,MARITAL_STATUS,AGE,CREDIT_RATING,OWN_OR_RENT_FLAG,EMPLOYER,NUMBER_CREDIT_CARDS,NET_WORTH
cud1344,cuddy,Wally,L,,7740 royalton road,,94210,Stockton,AR,Canada,1-463-913-7573,347883.0,2.0,1.0,M,45.0,306.0,R,Best Buy,3.0,3729163.0
Dem1345,Demone,marj,,f,24309 westpark avenue,,H2e 1u9,New York,AK,United States of America,1-110-070-7433,162007.0,0.0,4.0,M,38.0,567.0,O,Bank of America Corp.,10.0,803737.0
KON1346,KONOMIS,Louise,,,21477 JUNIPER CRESCENT,,94443,Mesquite,MA,United States of America,1-404-032-5960,427217.0,4.0,,S,57.0,429.0,O,Schering-Plough,4.0,2638958.0
MEL1347,MELTON,Jeff,,,20858 university drive,,99207,Las Cruces,Alberta,United States of America,1-108-439-5363,168549.0,0.0,1.0,M,73.0,826.0,O,Dole Food,6.0,2192090.0
KER1348,KERR,Melissa,M,f,23070 waldemar road,,M8b 1v6,Inglewood,NC,Canada,1-353-200-3958,5312.0,3.0,,S,76.0,433.0,R,Robert Half International,1.0,980763.0
Lud1349,Ludwick,LYNNETT,U,m,15162 morton upper,,V6o 1v3,Charlotte,AZ,United States of America,1-473-053-5437,105104.0,5.0,2.0,,19.0,459.0,O,Solo Cup,,3242031.0
Rus1350,Russett,NAKINA,,,10253 oak grove avenue,,70810,Thousand Oaks,HI,United States of America,1-632-240-0043,408724.0,0.0,5.0,U,49.0,610.0,O,Kroger,10.0,3150691.0
RAN1351,RANGEL,painterson,C,F,24200 north crescent,,M7M 1C2,Fayetteville,TX,Canada,1-930-346-6944,427367.0,0.0,1.0,S,59.0,367.0,R,NBTY,10.0,673563.0
Nag1352,Nagy,Melony,,F,17812 mesa upper,,38195,Hartford,VA,Canada,1-435-651-2948,76414.0,,4.0,M,,303.0,O,U.S. Bancorp,2.0,3813942.0
ben1353,benedek,carissa,V,,13500 GRIFFIN LOWER,,98152,Hialeah,AZ,United States of America,,494319.0,0.0,,U,26.0,695.0,O,Boise,2.0,3044826.0
Cra1354,Crabe,Wing-man,S,f,1698 COURTLAND EAST,,M5A 1Z6,Charleston,MA,United States of America,1-322-554-5586,222777.0,2.0,4.0,M,33.0,556.0,O,Bio-Rad Laboratories,5.0,1951847.0
Jun1355,Juni,Phebe,O,,19097 foxfire north,,h2d 1u3,Huntington,AR,United States of America,,346206.0,3.0,,S,96.0,396.0,O,Rohm & Haas,5.0,436290.0
LOV1356,LOVETT,RHIANON,U,,24674 WINDCHIME COURT,,20053,Dover,British Columbia,United States of America,,,4.0,2.0,S,85.0,635.0,O,Children's Place Retail Stores,3.0,553636.0
COL1357,COLANTONIO,ireland,,f,19168 cleburne drive,,06524,Charlottetown,AR,United States of America,1-591-301-0571,141121.0,0.0,1.0,U,32.0,,R,First American Corp.,5.0,575452.0
Dav1358,Davis,kayle,,f,293 conier avenue,,v6p 1w5,St. Louis,New Brunswick,United States of America,1-214-510-9743,,1.0,0.0,M,76.0,840.0,U,Enterprise GP Holdings,0.0,3806825.0
per1359,personna,josanne,E,f,1063 dunbar lower,Apt. 109,85265,Boston,MD,United States of America,1-190-665-6416,389185.0,1.0,2.0,U,3.0,531.0,U,Apache,5.0,2216247.0
nau1360,naugle,YUNG,,M,5398 collier crescent,,78727,Santa Clara,Ontario,Canada,1-793-543-7082,159885.0,3.0,3.0,M,64.0,707.0,O,United Natural Foods,1.0,1694250.0
MIL1361,MILLARD,Alecia,O,,18171 CROSSUS BOULEVARD,,10013,Garland,NY,United States of America,1-760-939-3847,390567.0,3.0,2.0,,24.0,532.0,U,SunTrust Banks,6.0,628762.0
med1362,medioni,berny,,f,12530 clower crescent,,91154,Raleigh,GA,Canada,1-776-712-0194,452925.0,4.0,3.0,U,94.0,418.0,O,Hertz Global Holdings,3.0,
NAL1363,NALLENGARA,Louise,,,12470 WOODTIMBER SOUTH,,55419,Tacoma,Saskatchewan,Canada,1-758-505-7440,61077.0,3.0,2.0,M,4.0,,O,Lexmark International,1.0,2427341.0
COL1364,COLOADS,Marget,,,11194 brook meadow court,,E7o 1k5,San Buenaventura,CT,Canada,1-571-177-6873,238619.0,2.0,0.0,W,69.0,766.0,O,Sealed Air,4.0,1660523.0
ott1365,ottawa,KITT,H,,2453 baker way,APT. 57,33310,Bakersfield,KY,United States of America,1-125-481-4991,53018.0,,2.0,D,16.0,701.0,U,Oneok,3.0,1659566.0
mch1366,mcharg,Ariella,,m,5263 wayne drive,,90153,Topeka,IA,United States of America,1-563-310-3701,,5.0,4.0,M,0.0,753.0,O,Consol Energy,5.0,2509452.0
las1367,lashmit,dorene,U,,7938 lynnfield crescent,Suite 328,38173,Sydney,Alberta,United States of America,1-986-914-1444,282154.0,1.0,2.0,S,95.0,634.0,O,Domtar,7.0,154720.0
Gil1368,Gillette,josie,Z,,10416 SLANEY COURT,,h2a 1v8,Miami,TX,United States of America,1-871-341-9058,294569.0,0.0,4.0,M,,597.0,U,Assurant,1.0,
hob1369,hobbs,ENRIKA,A,,23787 hosta park,,29419,Stamford,NE,United States of America,1-151-327-5088,450732.0,0.0,4.0,,2.0,780.0,O,Walgreen,8.0,813623.0
Len1370,Lenz,Maddy,,m,232 lyle park,,43219,Springfield,SD,United States of America,1-669-076-1468,418314.0,2.0,2.0,M,37.0,636.0,O,Republic Services,7.0,919479.0
toh1371,tohama,JOICE,V,F,2476 CONCHO DRIVE,,90776,Baton Rouge,Quebec,United States of America,1-625-594-7679,144923.0,0.0,4.0,D,68.0,528.0,,Health Net,8.0,409447.0
Prz1372,Przybycien,ABDALLAH,W,F,18479 travis north,,63165,Montgomery,WA,United States of America,,220757.0,0.0,2.0,M,32.0,728.0,R,SLM,4.0,2559343.0
Sho1373,Shoemaker,Tisha,I,,13892 jennings road,,19235,St. Petersburg,WI,United States of America,,480795.0,2.0,3.0,M,16.0,684.0,O,E*Trade Financial,1.0,1511125.0
Smo1374,Smoot,rosie,,M,22480 lenwood street,,72213,Jackson,ME,United States of America,1-922-083-0358,,1.0,1.0,S,2.0,545.0,O,Northern Trust Corp.,5.0,49538.0
BAD1375,BADGER,Howard,,,1191 highland park lane,,M9f 1s4,San Buenaventura,SD,United States of America,1-517-839-8397,15247.0,5.0,1.0,U,9.0,775.0,U,Centex,6.0,393218.0
Mon1376,Montgomery,JOY,T,M,18354 dodd court,,92050,Inglewood,SD,United States of America,,404998.0,3.0,0.0,S,88.0,545.0,,Vishay Intertechnology,3.0,1803483.0
Gos1377,Goss,Ashil,,m,2777 durand crescent,,23465,Hamilton,British Columbia,United States of America,,251437.0,0.0,2.0,U,13.0,687.0,R,,9.0,2198139.0
PAG1378,PAGI,Hennrietta,,,23485 sinclair upper,,v5b 1n5,Atlanta,MO,United States of America,1-787-234-7410,455100.0,0.0,4.0,M,43.0,,O,Scana,5.0,2949084.0
Leh1379,Lehtinen,Collie,,m,2755 rodeo court,,60748,Erie,AK,United States of America,1-916-277-4251,242398.0,4.0,4.0,M,62.0,440.0,U,Procter & Gamble,10.0,3498191.0
Wai1380,Wai,Alison,,F,3542 blount boulevard,,64134,Augusta,ID,United States of America,1-850-887-5740,350069.0,3.0,3.0,M,29.0,682.0,R,Molina Healthcare,3.0,2782578.0
Wol1381,Wolter,Enzo,J,,2055 EVANS EAST,,81003,Bellevue,IN,United States of America,1-394-234-6526,203702.0,3.0,0.0,U,93.0,735.0,O,Apollo Group,0.0,2885533.0
LON1382,LONERGAN,Gussie,,m,348 fennel way,,36102,Chicago,NE,United States of America,1-102-557-8590,57109.0,3.0,0.0,D,33.0,412.0,O,Hawaiian Electric Industries,5.0,2512324.0
Fur1383,Furgerson,Marylou,,,22326 COLONIAL LOWER,Suite 14,76003,Oxnard,WV,United States of America,1-571-230-4321,322979.0,5.0,4.0,M,30.0,572.0,O,Erie Insurance Group,10.0,1479245.0
The1384,Theriault,Fotini,,,14566 wisteria road,,19240,Montreal,WY,Canada,1-970-909-0899,328551.0,2.0,3.0,M,7.0,809.0,R,Pentair,1.0,298187.0
wat1385,watford,Arabelle,,M,13075 vinson road,,93808,Chula Vista,Alberta,Canada,1-401-624-1316,499460.0,0.0,3.0,W,100.0,808.0,U,Schnitzer Steel Industries,,3586500.0
Haw1386,Hawkins,Roby,,,2034 bissonnet rue,,V6l 1r5,Columbia,RI,United States of America,1-128-585-2395,131356.0,2.0,2.0,M,81.0,841.0,O,Wendy's/Arby's Group,7.0,3992559.0
Liv1387,Livingstone,Shakoor,,m,5917 addax avenue,,80111,Madison,MO,United States of America,1-888-335-2854,104663.0,2.0,0.0,W,31.0,664.0,O,Harsco,8.0,1362382.0
PAT1388,PATON,Kataryna,B,,20758 mason crescent,,10053,Irvine,NE,United States of America,1-608-160-6229,92864.0,4.0,4.0,M,87.0,479.0,O,Paccar,7.0,
Tab1389,Tabler,Leesa,,,2103 campbell boulevard,,77038,Lansing,British Columbia,United States of America,1-464-010-3535,398775.0,0.0,1.0,S,87.0,608.0,O,Burger King Holdings,10.0,3733098.0
Mul1390,Mullarney,Annecorinne,,m,9792 cedar springs lane,,53218,Cedar Rapids,MA,United States of America,1-137-988-6038,257173.0,5.0,4.0,S,98.0,364.0,R,Volt Information Sciences,8.0,1542024.0
Laa1391,Laale,Walley,,,7837 howell court,,h5j 1q8,Bellevue,MD,United States of America,1-766-743-9309,84127.0,1.0,3.0,U,99.0,815.0,O,Beckman Coulter,9.0,1162138.0
Rho1392,Rhodenizer,kassi,D,,7357 crosby drive,,T6D 1E3,Oshawa,IA,United States of America,1-840-490-0326,124538.0,0.0,5.0,U,59.0,459.0,U,Collective Brands,5.0,
RAN1393,RANJAN,ELISSA,,,19419 sycamore south,,33716,West Valley,OK,United States of America,1-471-037-3582,95175.0,1.0,0.0,W,93.0,416.0,R,Scholastic,4.0,3685624.0
Van1394,Van hoy,chak-hong,G,,21813 purdue upper,,90087,Whitehorse,KS,United States of America,1-277-006-2235,19441.0,4.0,,M,39.0,509.0,O,IMS Health,1.0,3582803.0
Slo1395,Slobodrian,Gerhardine,,,19453 wisteria east,,81002,Macon,AZ,United States of America,1-088-270-7799,382719.0,3.0,3.0,M,24.0,379.0,R,HealthSouth,10.0,3737128.0
Kra1396,Krawchuk,gerrilee,O,m,2415 EDGSON DRIVE,,99566,Plano,WA,United States of America,1-950-683-4334,484039.0,2.0,0.0,M,89.0,391.0,U,AES,0.0,2603020.0
Lea1397,Leaver,Coila,,M,4941 beardsley north,,v6z 1s7,Edmonton,IL,United States of America,1-771-522-4842,,4.0,2.0,D,45.0,342.0,O,Watson Wyatt Worldwide,10.0,2661754.0
Rez1398,Reznechek,Kissiah,R,,5653 WORTH DRIVE,apt. 816,79940,San Francisco,New Brunswick,United States of America,1-391-517-2753,129768.0,4.0,2.0,W,42.0,426.0,O,NV Energy,0.0,656351.0
Mul1399,Mulroney,DARLA,,m,10887 PIKE EAST,,t5d 1p9,Berkeley,CT,Canada,,407775.0,1.0,0.0,S,11.0,647.0,R,Liberty Media,2.0,425861.0
Mic1400,Micucci,melonie,U,,24246 carlisle drive,,m6s 1h2,Naperville,DC,United States of America,1-238-931-9395,265421.0,1.0,3.0,U,52.0,800.0,U,Mueller Water Products,4.0,2868510.0
adk1401,adkinson,BERNARDINE,,m,4107 pasadena upper,Apt. 410,90011,Escondido,NV,United States of America,1-077-161-6331,64519.0,1.0,0.0,M,,801.0,O,Valmont Industries,6.0,3361065.0
arb1402,arbuckle,THANH-HOA,I,,1692 FAIRDALE WEST,,22334,Chandler,NM,Canada,1-633-800-2565,162727.0,1.0,0.0,S,97.0,480.0,O,Liberty Global,7.0,2645298.0
loy1403,loyer,OTHILIA,,,21072 winsome avenue,,V6m 1v9,Montpelier,New Brunswick,United States of America,1-909-984-3943,390008.0,4.0,0.0,W,37.0,505.0,,Molex,5.0,13946.0
Ber1404,Berna,sati,,,16825 bittercreek way,,01612,Wichita,Manitoba,Canada,1-676-509-7388,393946.0,2.0,2.0,S,91.0,756.0,O,National Fuel Gas,8.0,1170286.0
mor1405,moritz,DELBERT,W,,17508 WELLER WEST,,M1G 1R6,Fairbanks,Nova Scotia,United States of America,1-554-380-2052,434837.0,0.0,1.0,U,46.0,525.0,O,Dover,6.0,2699550.0
QUE1406,QUEK,clarette,,,7331 courtland park,,35820,London,MT,United States of America,1-192-024-5241,128809.0,5.0,4.0,U,23.0,432.0,O,DirecTV Group,1.0,1459577.0
Goo1407,Goos,kelcey,,C,15246 dunn park,,h2c 1y3,Mesquite,GA,Canada,1-897-403-0830,70724.0,0.0,3.0,M,65.0,304.0,O,St. Jude Medical,10.0,1323264.0
Kir1408,Kirouac,lexis,,,1322 OASIS DRIVE,,60815,Greensboro,Manitoba,Canada,1-741-451-3570,80660.0,1.0,3.0,M,40.0,402.0,O,Williams-Sonoma,2.0,2270741.0
ber1409,bergeson,Jeanne,,m,16512 rio grande east,,38194,Yonkers,Alberta,Canada,1-057-953-5828,20363.0,2.0,3.0,U,4.0,459.0,O,Brightpoint,,1362251.0
pol1410,poley,BAOMINH,D,f,15932 whale upper,,V6H 1U9,Kitchener,MI,United States of America,1-074-337-8861,341461.0,4.0,5.0,U,65.0,823.0,O,Weis Markets,3.0,3863190.0
MOU1411,MOULTON,Naresh,T,,19744 taylor crest street,,23463,Sunnyvale,MI,Canada,1-283-517-3233,397314.0,,4.0,U,29.0,738.0,U,MSC Industrial Direct,0.0,20910.0
Sto1412,Stowe,Tana,,,18791 richmond south,,X5E 1U1,New Orleans,MS,United States of America,1-855-285-1143,448123.0,2.0,0.0,U,14.0,532.0,O,Ball,4.0,3505829.0
Rei1413,Reichow,Karrah,,M,5835 BITTERCREEK NORTH,,43234,Sacramento,WY,Canada,1-212-091-2183,97211.0,0.0,,U,83.0,394.0,O,Catalyst Health Solutions,1.0,3127863.0
mej1414,mejdal,Kary,W,,12543 edgewood avenue,apt. 25,80018,Mobile,Nova Scotia,United States of America,,395539.0,2.0,4.0,M,8.0,793.0,O,AGL Resources,0.0,464964.0
zub1415,zubricki,Sherman,C,,22802 alonzo avenue,apt. 948,V6c 1t2,Hayward,MS,Canada,1-530-017-1948,428472.0,5.0,5.0,U,13.0,765.0,O,M&T Bank Corp.,10.0,
Hai1416,Haigh,TRACEY,,m,22186 viking street,,75209,Hilo,CT,United States of America,1-883-844-4809,250024.0,3.0,1.0,W,,574.0,O,Bemis,4.0,1265549.0
bri1417,brightwell,jackson,,M,1701 gold east,,06110,Sterling Heights,Quebec,United States of America,1-499-792-2473,429284.0,1.0,2.0,M,43.0,380.0,O,Adobe Systems,1.0,3047478.0
BAR1418,BARHAM,Twila,,,3690 PLUMB BOULEVARD,,X7i 1r1,Santa Clara,MT,United States of America,1-915-118-9157,316311.0,1.0,5.0,M,36.0,369.0,R,LKQ,8.0,2737122.0
atl1419,atlantic,BERNICE,,,9907 upton south,,19114,Madison,NM,United States of America,1-047-607-6290,449359.0,2.0,4.0,M,,664.0,O,Newmont Mining,4.0,2940471.0
kum1420,kumamoto,letisha,N,f,18830 smithdale street,,95205,Dayton,MO,United States of America,1-188-566-5521,284111.0,2.0,1.0,M,29.0,768.0,R,Key Energy Services,9.0,3846613.0
cra1421,crawhall,Florette,,M,679 windsor west,,93332,Spokane,British Columbia,Canada,1-779-330-7735,218682.0,2.0,4.0,M,72.0,604.0,O,BJ's Wholesale Club,1.0,1240712.0
Jen1422,Jenkins,Jozef,A,,7266 cherry upper,,19202,Reno,NJ,United States of America,1-722-749-6972,,0.0,2.0,M,69.0,,R,Viacom,2.0,2347150.0
ony1423,onyshko,RINA,,,7458 denton boulevard,,v6q 1w7,Newport News,Ontario,United States of America,1-043-012-1235,466479.0,2.0,3.0,S,31.0,801.0,R,Huntsman,7.0,
and1424,andrassy,GRATIANA,,F,9907 upton south,,75026,Dayton,NY,United States of America,1-321-952-3768,88824.0,0.0,1.0,W,0.0,413.0,,Blockbuster,3.0,3959952.0
Sab1425,Sabol,Aniko,,,5810 sinclair park,APT. 736,20056,Lowell,SC,United States of America,1-593-015-3350,84838.0,,3.0,W,43.0,484.0,O,Oceaneering International,5.0,1609930.0
HAS1426,HASHIMOTO,Iseabal,,m,24178 turtle creek street,,94391,Bellevue,WY,United States of America,1-794-985-9390,180953.0,5.0,1.0,M,3.0,389.0,R,Freescale Semiconductor,1.0,3463678.0
ber1427,bergman,KWAN,,,3731 CAPITAL COURT,,m5a 1y5,Portland,UT,United States of America,1-872-826-6371,127651.0,1.0,2.0,S,,647.0,O,Thrivent Financial,7.0,359148.0
mol1428,molnar,devan,,,12610 presido road,,V6c 1r8,Ottawa,MT,United States of America,1-722-050-8438,461641.0,3.0,2.0,U,33.0,475.0,O,Protective Life,7.0,2118243.0
Nem1429,Nemeth,Sissy,O,,22632 country road,,45205,Ottawa,Ontario,United States of America,1-567-610-8134,,,5.0,M,64.0,364.0,R,Pacific Life,2.0,2092878.0
nor1430,norczen,Armando,,,8989 SPICEBRUSH STREET,,99559,Des Moines,CO,United States of America,1-985-769-7168,59965.0,,4.0,M,92.0,340.0,O,Constellation Brands,2.0,403057.0
HUS1431,HUSSEIN,Flore,,f,6243 gaylord way,suite 122,95298,Salinas,MO,United States of America,1-799-509-0373,399662.0,0.0,,M,16.0,699.0,R,American Express,8.0,2636894.0
KAY1432,KAYSER,Timmy,,f,4144 lake park lane,,23239,Independence,AL,United States of America,1-983-800-5242,134088.0,2.0,1.0,U,68.0,353.0,O,Emerson Electric,4.0,1360004.0
Soi1433,Soin,CARLOTA,U,,11480 FENNEL SOUTH,,04103,Garland,MT,United States of America,1-690-814-6452,25889.0,1.0,5.0,W,47.0,351.0,U,Avis Budget Group,4.0,2922377.0
Bun1434,Bundschuh,Christen,,F,9023 TAMARIND RUE,,V6c 1t6,Durham,WI,United States of America,1-332-461-0867,425827.0,0.0,1.0,U,18.0,339.0,R,Dun & Bradstreet,6.0,1144785.0
Kin1435,Kinahan,mora,,F,13619 WITHERS UPPER,,v6s 1t1,Kitchener,TX,Canada,1-481-002-0139,158093.0,3.0,3.0,U,49.0,832.0,O,Owens & Minor,8.0,690738.0
JED1436,JEDRYSIAK,danika,,,23822 marvin crescent,,95192,Dayton,DC,United States of America,1-667-614-7770,190713.0,2.0,3.0,U,,717.0,O,Broadridge Financial Solutions,7.0,791534.0
val1437,valerien,Sammy,O,,17714 viking road,,02102,Augusta,AR,United States of America,1-843-990-2613,305355.0,3.0,5.0,D,66.0,607.0,O,Tenneco,0.0,400038.0
Wen1438,Wenham,SHUO,,,7751 DARLINGTON PARK,,V6g 1q6,Ann Arbor,ND,Canada,,132251.0,1.0,3.0,M,17.0,722.0,O,Mirant,,2804529.0
ZIM1439,ZIMMERMANN,Anna-diane,A,,9863 BOLL BOULEVARD,,36106,Scottsdale,AK,Canada,1-824-968-9079,289203.0,4.0,2.0,M,6.0,560.0,O,Symantec,3.0,3705739.0
Yuh1440,Yuhanna,Thi,,,13347 NORWALK ROAD,,v6i 1r6,Irvine,OH,United States of America,1-322-081-3232,425736.0,1.0,0.0,M,80.0,327.0,O,Land O'Lakes,1.0,1798130.0
Lat1441,Lathangue,lyndsey,D,F,21245 weller way,,58501,Wichita,Ontario,Canada,1-819-895-0022,70444.0,2.0,2.0,W,96.0,747.0,O,Illinois Tool Works,5.0,3502432.0
STO1442,STOKOSKI,Steven,G,f,22986 norfolk lane,,90164,Biloxi,British Columbia,Canada,1-328-061-6071,282725.0,2.0,0.0,,,712.0,,Assurant,1.0,2074888.0
pea1443,peate,Karlon,,M,7321 spring valley way,,m2r 1d9,Durham,LA,United States of America,1-841-422-6394,206554.0,2.0,5.0,M,67.0,410.0,O,Brookdale Senior Living,9.0,1140159.0
ham1444,hampson,Azam,,m,15883 BALTIC SOUTH,,60819,McAllen,ME,United States of America,1-422-387-8423,85624.0,4.0,1.0,S,73.0,317.0,,Biomet,1.0,1007843.0
ESH1445,ESHELMAN,Tabatha,,M,3681 holly knoll crescent,,14224,Whitehorse,OR,United States of America,1-645-136-4323,298008.0,,1.0,M,77.0,390.0,O,Eaton,0.0,3454615.0
KOS1446,KOSASIH,nic,,,2082 GEMINI COURT,,H2g 1y7,Stockton,WI,United States of America,1-251-197-9978,426550.0,1.0,1.0,M,65.0,698.0,O,BlueLinx Holdings,,1208329.0
Hol1447,Holland,Bruno,,F,4640 BEDFORD PARK,,35828,Jacksonville,LA,United States of America,1-549-706-8037,188000.0,3.0,3.0,M,,400.0,O,CVR Energy,0.0,2078508.0
gor1448,gores,Pet,,F,17442 TALLOWOOD UPPER,,80076,Oshawa,Manitoba,United States of America,1-287-390-0344,146853.0,1.0,1.0,W,94.0,306.0,O,Nordstrom,8.0,765655.0
dao1449,dao,Marianna,,,14835 westover boulevard,,V6h 1p6,Beaumont,AK,Canada,1-136-871-4853,488227.0,3.0,5.0,S,42.0,748.0,U,Cenveo,3.0,
fri1450,frie,ko,,f,7527 whale drive,,78297,Raleigh,NJ,United States of America,1-718-839-1233,135652.0,5.0,5.0,U,96.0,382.0,O,Aon,7.0,1197470.0
wes1451,westfall,Corissa,,,2792 pike court,,85745,Hollywood,UT,Canada,1-513-262-1083,91230.0,0.0,5.0,M,46.0,353.0,O,Varian Medical Systems,1.0,180887.0
Rid1452,Ridgway,Kial,,,509 alicia avenue,,52410,Pasadena,WI,United States of America,1-168-196-3269,155912.0,1.0,2.0,S,3.0,620.0,O,Noble Energy,,1500237.0
REC1453,RECEIVING,Pojanart,G,,18699 POTOMAC BOULEVARD,,94526,Fullerton,OH,United States of America,1-124-350-1278,424742.0,2.0,0.0,M,38.0,579.0,O,XTO Energy,3.0,506636.0
Cor1454,Corlett,Beau,,,19611 mesa lane,,48267,Chicago,UT,United States of America,1-965-637-7884,,2.0,3.0,U,25.0,487.0,O,Jones Lang LaSalle,10.0,382143.0
RUT1455,RUTHERFORD,Edmond,Y,,2856 courtland east,,22311,Scottsdale,IN,Canada,1-037-404-2204,164284.0,4.0,3.0,,1.0,,O,Global Partners,6.0,200505.0
her1456,hershberger,Merlin,O,M,1585 fulton drive,,M5d 1x3,Vancouver,IL,United States of America,1-902-506-5132,270824.0,2.0,4.0,M,12.0,526.0,R,Smith International,10.0,145414.0
EAR1457,EARNHARDT,nerita,,M,947 mcshann avenue,,H2f 1v8,Fairbanks,MO,United States of America,1-338-283-6126,2995.0,2.0,2.0,W,83.0,587.0,O,Hudson City Bancorp,4.0,789534.0
Hew1458,Hews,wong,,f,14987 oak grove west,,76101,Ottawa,VA,United States of America,1-500-865-6694,284237.0,2.0,,U,94.0,835.0,,Teradata,4.0,747028.0
Sch1459,Schrang,Geetha,G,,16568 bellflower north,Apt. 746,44309,Baltimore,AR,United States of America,1-561-743-3674,10797.0,5.0,0.0,S,,483.0,O,,1.0,2365399.0
wai1460,waines,Virgil,,m,13352 beauregard lower,,t5a 1z8,Erie,DE,Canada,1-559-120-2354,67931.0,5.0,1.0,U,27.0,495.0,O,eBay,4.0,2593403.0
kri1461,kriegler,CALYPSO,,M,13890 SNEAD PARK,,H2b 1v3,San Antonio,VT,United States of America,1-975-153-0698,428362.0,0.0,3.0,M,31.0,562.0,O,PNC Financial Services Group,,1373375.0
Tow1462,Townley,Etty,L,F,20156 southlake drive,,14615,Vallejo,NV,United States of America,1-463-873-6723,396053.0,4.0,4.0,U,78.0,654.0,R,,6.0,1126411.0
Cha1463,Chappell,SANJOY,,m,12787 holly court,,94289,Lansing,ND,United States of America,1-219-554-2664,340866.0,,1.0,U,74.0,699.0,O,Gilead Sciences,0.0,2231842.0
aok1464,aoki,BEA,A,M,17194 VALITA WEST,,43236,San Buenaventura,WA,United States of America,1-689-127-0750,,2.0,4.0,S,24.0,627.0,O,Scholastic,6.0,1179864.0
Ser1465,Seroka,Sharai,V,F,18716 greene drive,,T6a 1i3,Toledo,IN,United States of America,1-314-585-7408,184776.0,3.0,2.0,M,42.0,761.0,O,Cintas,6.0,1887611.0
Pro1466,Procca,WIESLAWA,,M,2560 WILLOWLAKE ROAD,,93384,Pembroke Pines,OK,Canada,1-207-082-1499,351384.0,3.0,5.0,U,43.0,364.0,O,Amphenol,8.0,3818897.0
Lei1467,Leitch,jolyn,,f,22645 rosedale lane,,99204,Corona,IL,United States of America,1-504-108-2295,465062.0,0.0,1.0,U,91.0,425.0,O,PC Connection,5.0,1557145.0
kri1468,kristjanson,ADELAIDA,,m,24943 jack road,apt. 746,v6i 1s4,Providence,AZ,Canada,1-333-035-4890,313615.0,,4.0,S,70.0,569.0,,Verizon Communications,10.0,3743113.0
Bab1469,Baber,Marjie,F,m,1194 burgoyne lower,,80933,Washington,WY,United States of America,1-623-256-9129,385145.0,2.0,4.0,M,36.0,,O,National Fuel Gas,10.0,267902.0
DIP1470,DIPIERRO,Dick,N,,22760 SAVANNAH BOULEVARD,,37914,Palmdale,MS,United States of America,1-682-574-9701,265547.0,0.0,4.0,M,95.0,584.0,O,Belk,9.0,1554714.0
pin1471,pineau,Zaven,S,F,17021 edwards crescent,,38113,Casper,WY,United States of America,1-909-879-4150,210242.0,4.0,3.0,D,66.0,738.0,O,Calumet Specialty Products,9.0,1785849.0
Hau1472,Hautanen,Vinnie,,,22201 westmere north,,M4L 1O4,Denver,CT,United States of America,1-183-178-5917,14168.0,0.0,2.0,M,16.0,432.0,O,Perot Systems,5.0,3000691.0
Bin1473,Binnington,Wanda,,M,14495 valita road,,90364,Atlanta,DC,United States of America,1-847-669-3845,28104.0,1.0,1.0,M,86.0,,O,H&R Block,7.0,3170300.0
Pir1474,Pirkey,Prams,,M,19119 FOUR POINTS CRESCENT,,V6h 1t6,Atlanta,CA,Canada,1-976-903-4058,59747.0,5.0,0.0,M,46.0,758.0,O,Martin Marietta Materials,8.0,1789875.0
Gra1475,Gravitt,Cacilia,,F,590 cedar crescent,,79424,Simi Valley,Quebec,United States of America,1-499-860-2810,89818.0,5.0,1.0,M,21.0,354.0,O,General Mills,5.0,2698625.0
ROZ1476,ROZUMNA,caralie,N,,6667 regal bluff road,,92035,Tucson,WY,United States of America,1-166-910-8873,189590.0,4.0,5.0,M,78.0,837.0,O,,10.0,3471479.0
Har1477,Harold,Mamoru,F,f,5359 gaylord lane,,50303,Yellow Knife,DE,United States of America,1-136-594-1087,328668.0,3.0,5.0,M,70.0,405.0,O,Xcel Energy,6.0,1921541.0
ket1478,ketchum,Carmencita,,f,2995 robbins south,,v6f 1p6,El Monte,IL,United States of America,1-888-057-7581,31540.0,2.0,2.0,W,35.0,707.0,R,Vulcan Materials,,3611018.0
Hol1479,Hollenbeck,Zarah,,M,20487 vickery lower,,Y1a 1f7,St. Johns,Saskatchewan,United States of America,1-678-590-3942,130384.0,0.0,1.0,M,89.0,811.0,O,General Electric,0.0,2973756.0
obr1480,obrecht,Svend,,,1681 KETCH LANE,,H7e 1u6,Durham,WY,United States of America,1-516-564-1148,86950.0,5.0,0.0,M,37.0,616.0,R,Windstream,3.0,3055483.0
Laf1481,Laflamme,Ali,R,f,22190 saunders street,,75040,Rockford,OR,United States of America,1-815-923-2513,445785.0,5.0,1.0,M,65.0,764.0,O,Hasbro,4.0,3458800.0
Bit1482,Bittman,barbra,,,11483 bonaventure park,,35872,Erie,NE,United States of America,1-732-516-4962,45116.0,,4.0,M,84.0,603.0,,,1.0,101009.0
irv1483,irving,JANETTA,M,,1253 kingsbridge upper,,93667,Thousand Oaks,VA,United States of America,1-824-110-6454,139863.0,,4.0,M,9.0,738.0,U,Starbucks,5.0,2274366.0
